taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	sinacCategory
4266371	Myotis oxyotus gardneri LaVal, 1973	4266371	Myotis oxyotus gardneri LaVal, 1973	9	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Vespertilionidae	9368	Myotis	2432384	Myotis oxyotus	2432422		PR
4265194	Thyroptera tricolor albiventer (Tomes, 1856)	4265194	Thyroptera tricolor albiventer (Tomes, 1856)	12	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Thyropteridae	5451	Thyroptera	2432772	Thyroptera tricolor	2432773		PR
2440806	Cabassous centralis (Miller, 1899)	2440806	Cabassous centralis (Miller, 1899)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cingulata	735	Dasypodidae	9369	Cabassous	2440805	Cabassous centralis	2440806	DD	PR
5218906	Galictis vittata (Schreber, 1776)	5218906	Galictis vittata (Schreber, 1776)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Galictis	5218900	Galictis vittata	5218906	LC	PR
7261485	Liomys salvini salvini	7261485	Liomys salvini salvini	47	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Heteromyidae	5504	Liomys	2439503	Liomys salvini	2439506		PR
6164463	Spilogale angustifrons celeris Hall, 1938	6164463	Spilogale angustifrons celeris Hall, 1938	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mephitidae	9679	Spilogale	2434820	Spilogale angustifrons	2434825		PR
2439506	Liomys salvini (Thomas, 1893)	2439506	Liomys salvini (Thomas, 1893)	142	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Heteromyidae	5504	Liomys	2439503	Liomys salvini	2439506	LC	PR
2433341	Vampyrum spectrum (Linnaeus, 1758)	2433341	Vampyrum spectrum (Linnaeus, 1758)	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Vampyrum	2433340	Vampyrum spectrum	2433341	NT	PR
7597378	Heteromys nubicolens Anderson, 2006	7597378	Heteromys nubicolens Anderson, 2006	70	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Heteromyidae	5504	Heteromys	2439567	Heteromys nubicolens	7597378	NE	PR
2437861	Reithrodontomys paradoxus Jones & Genoways, 1970	2437861	Reithrodontomys paradoxus Jones & Genoways, 1970	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Reithrodontomys	2437854	Reithrodontomys paradoxus	2437861	DD	PR
2433551	Bassariscus sumichrasti (Saussure, 1860)	2433551	Bassariscus sumichrasti (Saussure, 1860)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Bassariscus	2433550	Bassariscus sumichrasti	2433551	LC	PR
2436353	Bradypus variegatus Schinz, 1825	2436353	Bradypus variegatus Schinz, 1825	1299	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Pilosa	1494	Bradypodidae	9418	Bradypus	2436350	Bradypus variegatus	2436353	LC	PR
2439571	Heteromys oresterus Harris, 1932	2439571	Heteromys oresterus Harris, 1932	27	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Heteromyidae	5504	Heteromys	2439567	Heteromys oresterus	2439571	LC	PR
5219680	Sciurus deppei Peters, 1863	5219680	Sciurus deppei Peters, 1863	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Sciurus	2437489	Sciurus deppei	5219680	LC	PR
4265340	Phylloderma stenops septentrionalis Goodwin, 1940	11217685	Phylloderma stenops septentrionale Goodwin, 1940	2	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Phylloderma	2433170	Phylloderma stenops	2433171		PR
5219520	Choloepus hoffmanni Peters, 1858	5219520	Choloepus hoffmanni Peters, 1858	1037	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Pilosa	1494	Megalonychidae	6160	Choloepus	2436362	Choloepus hoffmanni	5219520	LC	PR
6164402	Bassariscus sumichrasti notinus Thomas, 1903	6164402	Bassariscus sumichrasti notinus Thomas, 1903	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Bassariscus	2433550	Bassariscus sumichrasti	2433551		PR
